id,date,tweet,hashtags,language,label
1.44e+18,9/20/2021 23:59,@happyb33rday Terima kasih dari kami yg agama beda,[],in,umum
1.44e+18,9/20/2021 23:59,@Candraasmara85 @jfpatt Malingpun di belain asal bs bela agama....,[],in,umum
1.44e+18,9/20/2021 23:59,"Hari ini aku ga on dulu ya, mau ada upacara agama. Terima kasih",[],in,umum
1.44e+18,9/20/2021 23:59,Kenapa kl agama lain lg ceramah pemukanya tp gak pernah kedemger ada crite sering diserang sama odgj? Islam mulu kek nya.. #JustAsking ðŸ¤”ðŸ¤”ðŸ¤¦ðŸ»â€â™‚ï¸,['justasking'],in,agama
1.44e+18,9/20/2021 23:59,"Bapak itu kelihatannya fasih dlm membaca ayat dg Arab latinnya, tapi jija saya mau membongkar aqidahnya seperti apa juga bisa saja, namun kasihan karena pasti dirinya akan menyadari bhw ia masih jauh dari agama Tauhid. ðŸ˜ŠðŸ˜ŠðŸ™",[],in,agama
1.44e+18,9/20/2021 23:58,@bknclnistrimu yaah gimana yaa kalo masalahnya agama,[],in,umum
1.44e+18,9/20/2021 23:57,"@UmarChelseaHsb ""siapapun""? Cuma muslim saja kali yg dikritik marah. Tp kalo menghina agama kapir seenak jidat. MKC nongol krn respon adanya UAS, waloni, irene handono, dkk.",[],in,agama
1.44e+18,9/20/2021 23:57,"Penyerangan Tokoh Agama Kembali Terjadi, Buya Abbas: Ujung-ujung Pelaku disebut Orang Sakit Jiwa  https://t.co/pJUJkk6jI1",[],in,agama
1.44e+18,9/20/2021 23:57,"Penyerangan Tokoh Agama Kembali Terjadi, Buya Abbas: Ujung-ujung Pelaku disebut Orang Sakit Jiwa  https://t.co/vospRvJ3Nj",[],in,agama
1.44e+18,9/20/2021 23:57,"@cobeh2021 Itulah kalau kepentingan agama disandingkan dg dunia, tipu daya setan itu nyata. Sesuatu yg tdk penting di bahas diforum, mempercayai adanya Allah adalah keimanan. Hanya orang alim yg tdk haus dunia lah, yg akhlaknya bisa terjaga, semoga Allah ",[],in,agama
1.44e+18,9/20/2021 23:57,"@sabiynaaaalatip Kadang-kadang aku terfikir andai aku tidak dilahirkan sbg Muslim, adakah aku mempunyai keberanian untuk memeluk agama Islam? Tahniah saudara baharu.",[],in,agama
1.44e+18,9/20/2021 23:57,"@sofunyah gda niatan,beda agama jg",[],in,umum
1.44e+18,9/20/2021 23:56,@Its_balee Jgn sampai kamu tergoda untuk pindah agama,[],in,umum
1.44e+18,9/20/2021 23:56,7 Fakta Leo Consul Bintang Terpaksa Menikahi Tuan Muda ANTV: Pengakuan Soal Agama dan Hengkang dari Love Story The Series SCTV  https://t.co/TGXeRdwv70  #TerpaksaMenikahiTuanMuda  #leoconsul,"['terpaksamenikahituanmuda', 'leoconsul']",in,hiburan
1.44e+18,9/20/2021 23:55,"@AseliDepok @RGM94926797 @Corona_KafirNw Perang dunia bukan bermotif agama. Beda sama perang badar dan perang khaibar, yg jelas2 motifnya agama. Sejarah nabinya sendiri ngerti gak?",[],in,agama
1.44e+18,9/20/2021 23:54,@soma_cemeng tuhan tunjukan pada kita kalau agama itu sama yg beda cuma isi kepala doang bang ðŸ˜ðŸ˜ðŸ˜ yg atu isinya kebaikan yg atu isinya ðŸ¤­ðŸ¤­ðŸ¤­ gak tega bilangnya abis dilumurin sm sikece ðŸ˜…ðŸ˜…,[],in,agama
1.44e+18,9/20/2021 23:54,"""Maraknya kasus penistaan agama di era Jokowi. Mulai dari kasus Ade Armando. Abu janda, Paul Zhang, dll. Terbaru kasus Kece ini. Dan semuanya seperti ada pembiaran.    ""Kondisinya mirip tahun 60-an ketika PKI berkuasa,"" ujar Anton Tabah  https://t.co/SU5nRWoFIG",[],in,agama
1.44e+18,9/20/2021 23:54,demi alek males bgt kelas mana agama lagi hduh dosennya suka nunjuk2 suruh jawab,[],in,umum
1.44e+18,9/20/2021 23:54,Dari mana bela agama tidak dibenarkan ... yang omong ini OKNUM NU MOENAFIQ ... dan bukan NU GARIS LURUS ... mau ape lo ... !!!!,[],in,umum
1.44e+18,9/20/2021 23:54,"@Leeya_Mazlan Dia scammer dik. dh songlap duit,pastu kena denda. Dia buat isu agama dgn lari nk cover fakta sebenar.kesian dgn sajat pon kena tipu  https://t.co/rI0kjeiPG5",[],in,umum
1.44e+18,9/20/2021 23:53,"@bntngsudahbesar Astaga berdosa sekali kamu dik, itu dijidat dah berbentuk lafas agama sebelah tp kamu sandingkan dengan babi guling",[],in,agama
1.44e+18,9/20/2021 23:53,"@Dennysiregar7 @MajelisUlamaID Jiaaaaaah anak setan, masih belum tobat juga jantung udah pake ring bukan sadar malah bacot nya gak jaga so pintar agama setan setan",[],in,umum
1.44e+18,9/20/2021 23:53,"Penyerangan Tokoh Agama Kembali Terjadi, Buya Abbas: Ujung-ujung Pelaku disebut Orang Sakit Jiwa  https://t.co/KYsEIuDUl5",[],in,agama
1.44e+18,9/20/2021 23:53,@Miduk17 miriis .... berlindung dibalik agama yg ternyata akhlaq nya hina dina ..,[],in,agama
1.44e+18,9/20/2021 23:52,"@Marsudi__ Tergantung yg ngmg dr golongan mana dulu cak,klo dr golongan yg hobinya membenturkan agama dgn kekerasan pasti di bilang radikal",[],in,agama
1.44e+18,9/20/2021 23:52,@OposisiCerdas Apakah kita masih percaya polri ? Besok2 orang akan bisa main hakim sendiri jika polisi gak pernah proses penista agama,[],in,hukum
1.44e+18,9/20/2021 23:52,"@Perant4u @EkoPuryanto18 @Dennysiregar7 @MajelisUlamaID Macam Isis aj kalo gitu, membunuh, memperkosa mengatas namakan agama, bela agamaðŸ˜",[],in,agama
1.44e+18,9/20/2021 23:52,"@bachrum_achmadi Jika Islam ngak berkutik , tentu agama yang lain akan lebih mudah dikuasai oleh atheis.",[],in,agama
1.44e+18,9/20/2021 23:51,Agama tidak boleh di paksa.,[],in,umum
1.44e+18,9/20/2021 23:51,"@CNNIndonesia Sebagai balasan menghina agama dan melecehkan Islam, saya setuju M kece harus di hajar oleh orangðŸ‘ðŸ‘ðŸ‘",[],in,agama
1.44e+18,9/20/2021 23:51,@Inyongakunke3 @Nazkha10 @Dennysiregar7 @MajelisUlamaID Kalo saya kasih hadist atau ayatnya apakah kamu mau bertobat..dan menjadi pembela nabi dan agama Allah,[],in,agama
1.44e+18,9/20/2021 23:51,"@Dyananjani89 @TofaTofa_id Tuhan pencipta semua manusia sama yaitu Allah SWT. Hanya saja banyak manusia yang ingkar tidak mau mengakui Agama Islam yang diridhoi Allah SWT. bahkan menuhankan ciptaanNya, menuhankan Matahari (Shinto). Menuhankan Api ðŸ”¥ (Ma",[],in,agama
1.44e+18,9/20/2021 23:51,@math_sea @koly_jeferson @geloraco Itu gara2 menghina agama jadi bonyok dan di lumuri tai .... Bwahaha,[],in,umum
